Year,Storms,Hurricanes,Deaths,Damage (millions USD),Number of Retired Names,Retired Names
2011,20,7,100,21000,1,Irene
2010,21,12,287,12356,2,"Igor, Tomas"
2009,11,3,6,77,0,
2008,16,8,761,24945,3,"Gustav, Ike, Paloma"
2007,15,6,341,50,3,"Dean, Felix, Noel"
2006,10,5,5,500,0,
2005,28,15,3483,115520,5,"Dennis, Katrina, Rita, Stan, Wilma"
2004,15,9,3126,45235,4,"Charley, Frances, Ivan, Jeanne"
2003,16,7,50,3580,3,"Fabian, Isabel, Juan"
2002,12,4,23,1220,2,"Isidore, Lili"
2001,15,9,92,5260,3,"Allison, Iris, Michelle"
2000,15,8,30,26,1,Keith
1999,12,8,78,5532,2,"Floyd, Lenny"
1998,14,10,9715,3165,2,"Georges, Mitch"
1997,8,3,4,100,0,
1996,13,9,126,3600,3,"Cesar, Fran, Hortense"
1995,19,11,117,3729,4,"Luis, Marilyn, Opal, Roxanne"
1994,7,3,1175,973,0,
1993,8,4,267,57,0,
1992,7,4,26,26500,1,Andrew
1991,8,4,0,1500,1,Bob
1990,13,8,123,57,2,"Diana, Klaus"
1989,11,7,56,7670,1,Hugo
1988,12,5,555,59,2,"Gilbert, Joan"
1987,7,3,0,1,0,
1986,6,4,9,17,0,
1985,10,7,210,3725,2,"Elena, Gloria"
1984,13,5,35,66,0,
1983,4,3,21,2000,1,Alicia
1982,6,2,138,2,0,
1981,12,7,0,25,0,
1980,11,9,259,300,1,Allen
1979,9,5,2069,3050,2,"David, Frederic"
1978,12,5,0,20,0,
1977,6,5,0,10,1,Anita
1976,10,6,68,100,0,
1975,9,6,80,490,1,Eloise
1974,11,4,8002,150,2,"Carmen, Fifi"
1973,8,4,16,18,0,
1972,7,3,129,2102,1,Agnes
1971,13,6,30,212,0,
1970,10,5,51,454,1,Celia
1969,18,12,259,1421,1,Camille
1968,8,4,0,11,1,Edna
1967,8,6,59,200,1,Beulah
1966,11,7,1090,15,1,Inez
1965,6,4,76,1445,1,Betsy
1964,12,6,255,515,3,"Cleo, Dora, Hilda"
1963,9,7,8000,13,1,Flora
1962,5,3,0,2,0,
1961,11,8,321,406,2,"Carla, Hattie"
1960,7,4,148,393,1,Donna
1959,11,7,0,22,0,
1958,10,7,37,11,0,
1957,8,3,630,152,1,Audrey
1956,8,4,61,25,0,
1955,12,9,1210,960,4,"Connie, Diane, Ione, Janet"
1954,11,8,1199,781,2,"Carol, Hazel"
1953,14,6,0,1,0,
1952,7,6,600,3,0,
1951,10,8,259,0,0,
1950,13,11,26,31,0,
1949,13,7,0,59,0,
1948,9,6,80,18,0,
1947,9,5,51,136,0,
1946,6,3,0,12,0,
1945,11,5,26,80,0,
1944,11,7,1140,165,0,
1943,10,5,0,17,0,
1942,10,4,0,27,0,
1941,6,4,50,8,0,
1940,8,4,50,9,0,
1939,5,3,0,0,0,
1938,8,3,682,306,0,
1937,9,3,0,0,0,
1936,16,7,0,2,0,
1935,6,5,2683,12,0,
1934,11,6,3000,4,0,
1933,21,10,531,31,0,
1932,11,6,3404,8,0,
1931,9,2,2500,0,0,
1930,2,2,8000,0,0,
1929,3,3,0,1,0,
1928,6,4,3411,0,0,
1927,7,4,184,0,0,
1926,11,8,1370,137,0,
1925,4,2,60,0,0,
1924,11,5,100,0,0,
1923,9,4,0,0,0,
1922,5,3,0,0,0,
1921,7,5,131,3,0,
1920,5,4,0,1,0,
1919,5,2,600,22,0,
1918,6,4,34,5,0,
1917,4,2,0,0,0,
1916,15,10,137,33,0,
1915,6,5,684,63,0,
1914,1,0,0,0,0,
1913,6,4,135,3,0,
1912,7,4,200,0,0,
1911,6,3,25,1,0,
1910,5,3,101,1,0,
1909,11,6,2058,8,0,
1908,10,6,0,0,0,
1907,5,0,0,0,0,
1906,11,6,327,4,0,
1905,5,1,0,0,0,
1904,5,3,0,2,0,
1903,10,7,245,1,0,
1902,5,3,0,0,0,
1901,12,5,0,1,0,
1900,7,3,12000,30,0,
1899,9,5,3433,0,0,
1898,11,5,562,0,0,
1897,6,3,45,0,0,
1896,7,6,130,0,0,
1895,6,2,56,0,0,
1894,7,5,200,0,0,
1893,12,10,4500,0,0,
1892,9,5,0,0,0,
1891,10,7,703,0,0,
1890,4,2,0,0,0,
1889,9,6,40,0,0,
1888,9,6,921,0,0,
1887,19,11,0,0,0,
1886,12,10,178,0,0,
1885,8,6,25,0,0,
1884,4,4,0,0,0,
1883,4,3,236,0,0,
1882,6,5,140,0,0,
1881,7,4,700,0,0,
1880,11,9,128,0,0,
1879,8,6,46,0,0,
1878,12,10,99,0,0,
1877,8,3,84,0,0,
1876,5,4,0,0,0,
1875,6,5,800,0,0,
1874,7,4,0,0,0,
1873,5,3,600,0,0,
1872,5,4,0,0,0,
1871,8,6,27,0,0,
1870,11,10,2052,0,0,
1869,10,7,37,0,0,
1868,4,3,0,0,0,
1867,9,7,811,0,0,
1866,7,7,387,0,0,
1865,7,3,0,0,0,
1864,5,3,0,0,0,
1863,9,5,80,0,0,
1862,6,3,0,0,0,
1861,8,6,33,0,0,
1860,7,6,0,0,0,
1859,8,7,0,0,0,
1858,6,6,0,0,0,
1857,4,3,424,0,0,
1856,6,4,400,0,0,
1855,5,4,0,0,0,
1854,5,3,26,0,0,
1853,8,4,40,0,0,
1852,5,5,100,0,0,
1851,6,3,0,0,0,